Y_Q_output_1,0.00721359,0.00721359,0.00721359,0.00721359,0.00721359,0.00721359,0.00721359,0.00721359
Y_Q_output_2,0.007210982,0.007210982,0.007210982,0.007210982,0.007210982,0.007210982,0.007210982,0.007210982
Y_Q_output_3,0.007209532,0.007209532,0.007209532,0.007209532,0.007209532,0.007209532,0.007209532,0.007209532
Y_Q_output_4,0.007209106,0.007209106,0.007209106,0.007209106,0.007209106,0.007209106,0.007209106,0.007209106
Y_Q_output_5,0.00720931,0.00720931,0.00720931,0.00720931,0.00720931,0.00720931,0.00720931,0.00720931
Y_Q_output_6,0.00721005,0.00721005,0.00721005,0.00721005,0.00721005,0.00721005,0.00721005,0.00721005
Y_Q_output_7,0.007210475,0.007210475,0.007210475,0.007210475,0.007210475,0.007210475,0.007210475,0.007210475
Y_Q_output_8,0.007210754,0.007210754,0.007210754,0.007210754,0.007210754,0.007210754,0.007210754,0.007210754
Y_Q_output_9,0.00721013,0.00721013,0.00721013,0.00721013,0.00721013,0.00721013,0.00721013,0.00721013
Y_Q_output_10,0.007208893,0.007208893,0.007208893,0.007208893,0.007208893,0.007208893,0.007208893,0.007208893
Y_Q_output_11,0.007207013,0.007207013,0.007207013,0.007207013,0.007207013,0.007207013,0.007207013,0.007207013
Y_Q_output_12,0.007204643,0.007204643,0.007204643,0.007204643,0.007204643,0.007204643,0.007204643,0.007204643
Y_Q_output_13,0.007202436,0.007202436,0.007202436,0.007202436,0.007202436,0.007202436,0.007202436,0.007202436
Y_Q_output_14,0.007200487,0.007200487,0.007200487,0.007200487,0.007200487,0.007200487,0.007200487,0.007200487
Y_Q_output_15,0.007199646,0.007199646,0.007199646,0.007199646,0.007199646,0.007199646,0.007199646,0.007199646
Y_Q_output_16,0.007198928,0.007198928,0.007198928,0.007198928,0.007198928,0.007198928,0.007198928,0.007198928
Y_Q_output_17,0.007198614,0.007198614,0.007198614,0.007198614,0.007198614,0.007198614,0.007198614,0.007198614
Y_Q_output_18,0.007198338,0.007198338,0.007198338,0.007198338,0.007198338,0.007198338,0.007198338,0.007198338
Y_Q_output_19,0.007198189,0.007198189,0.007198189,0.007198189,0.007198189,0.007198189,0.007198189,0.007198189
Y_Q_output_20,0.007198043,0.007198043,0.007198043,0.007198043,0.007198043,0.007198043,0.007198043,0.007198043
Y_Q_output_21,0.007197908,0.007197908,0.007197908,0.007197908,0.007197908,0.007197908,0.007197908,0.007197908
Y_Q_output_22,0.007197773,0.007197773,0.007197773,0.007197773,0.007197773,0.007197773,0.007197773,0.007197773
Y_Q_output_23,0.00719764,0.00719764,0.00719764,0.00719764,0.00719764,0.00719764,0.00719764,0.00719764
Y_Q_output_24,0.00719751,0.00719751,0.00719751,0.00719751,0.00719751,0.00719751,0.00719751,0.00719751
Y_Q_output_25,0.007197393,0.007197393,0.007197393,0.007197393,0.007197393,0.007197393,0.007197393,0.007197393
Y_Q_output_26,0.00719729,0.00719729,0.00719729,0.00719729,0.00719729,0.00719729,0.00719729,0.00719729
Y_Q_output_27,0.007197225,0.007197225,0.007197225,0.007197225,0.007197225,0.007197225,0.007197225,0.007197225
Y_Q_output_28,0.00719719,0.00719719,0.00719719,0.00719719,0.00719719,0.00719719,0.00719719,0.00719719
Y_Q_output_29,0.007197192,0.007197192,0.007197192,0.007197192,0.007197192,0.007197192,0.007197192,0.007197192
Y_Q_output_30,0.007197231,0.007197231,0.007197231,0.007197231,0.007197231,0.007197231,0.007197231,0.007197231
Y_Q_output_31,0.007197317,0.007197317,0.007197317,0.007197317,0.007197317,0.007197317,0.007197317,0.007197317
Y_Q_output_32,0.007197446,0.007197446,0.007197446,0.007197446,0.007197446,0.007197446,0.007197446,0.007197446
Y_Q_output_33,0.007197614,0.007197614,0.007197614,0.007197614,0.007197614,0.007197614,0.007197614,0.007197614
Y_Q_output_34,0.007197818,0.007197818,0.007197818,0.007197818,0.007197818,0.007197818,0.007197818,0.007197818
Y_Q_output_35,0.007198039,0.007198039,0.007198039,0.007198039,0.007198039,0.007198039,0.007198039,0.007198039
Y_Q_output_36,0.00719827,0.00719827,0.00719827,0.00719827,0.00719827,0.00719827,0.00719827,0.00719827
Y_Q_output_37,0.007198494,0.007198494,0.007198494,0.007198494,0.007198494,0.007198494,0.007198494,0.007198494
Y_Q_output_38,0.007198703,0.007198703,0.007198703,0.007198703,0.007198703,0.007198703,0.007198703,0.007198703
Y_Q_output_39,0.00719889,0.00719889,0.00719889,0.00719889,0.00719889,0.00719889,0.00719889,0.00719889
Y_Q_output_40,0.007199049,0.007199049,0.007199049,0.007199049,0.007199049,0.007199049,0.007199049,0.007199049
Y_Q_output_41,0.007199189,0.007199189,0.007199189,0.007199189,0.007199189,0.007199189,0.007199189,0.007199189
Y_Q_output_42,0.007199307,0.007199307,0.007199307,0.007199307,0.007199307,0.007199307,0.007199307,0.007199307
Y_Q_output_43,0.007199412,0.007199412,0.007199412,0.007199412,0.007199412,0.007199412,0.007199412,0.007199412
Y_Q_output_44,0.007199513,0.007199513,0.007199513,0.007199513,0.007199513,0.007199513,0.007199513,0.007199513
Y_Q_output_45,0.007199617,0.007199617,0.007199617,0.007199617,0.007199617,0.007199617,0.007199617,0.007199617
Y_Q_output_46,0.00719973,0.00719973,0.00719973,0.00719973,0.00719973,0.00719973,0.00719973,0.00719973
