-1.71E-13,0,0
6.04E-10,1.33E-09,-3.33E-11
6.87E-09,1.77E-08,1.13E-09
2.17E-08,6.89E-08,4.62E-09
4.69E-08,1.86E-07,1.16E-08
8.19E-08,3.73E-07,2.20E-08
1.27E-07,6.89E-07,3.70E-08
1.80E-07,1.12E-06,5.61E-08
2.40E-07,1.74E-06,7.91E-08
3.07E-07,2.51E-06,1.06E-07
3.75E-07,3.47E-06,1.34E-07
4.48E-07,4.59E-06,1.63E-07
5.20E-07,5.85E-06,1.89E-07
5.90E-07,7.21E-06,2.11E-07
6.53E-07,8.50E-06,2.20E-07
7.11E-07,9.73E-06,2.26E-07
7.57E-07,1.07E-05,2.22E-07
7.99E-07,1.16E-05,2.15E-07
8.24E-07,1.22E-05,2.01E-07
8.43E-07,1.27E-05,1.85E-07
8.44E-07,1.28E-05,1.66E-07
8.39E-07,1.28E-05,1.47E-07
8.15E-07,1.25E-05,1.29E-07
7.89E-07,1.21E-05,1.10E-07
7.51E-07,1.16E-05,9.31E-08
7.05E-07,1.10E-05,7.73E-08
6.44E-07,1.01E-05,6.53E-08
5.71E-07,9.19E-06,5.64E-08
4.89E-07,8.17E-06,5.10E-08
3.95E-07,7.07E-06,4.91E-08
2.92E-07,5.96E-06,5.17E-08
1.78E-07,4.83E-06,5.86E-08
5.62E-08,3.72E-06,6.98E-08
-7.42E-08,2.65E-06,8.51E-08
-2.11E-07,1.69E-06,1.04E-07
-3.53E-07,8.58E-07,1.26E-07
-4.97E-07,1.81E-07,1.51E-07
-6.43E-07,-3.07E-07,1.78E-07
-7.88E-07,-6.06E-07,2.06E-07
-9.29E-07,-6.95E-07,2.33E-07
-1.07E-06,-5.91E-07,2.60E-07
-1.19E-06,-2.86E-07,2.85E-07
-1.31E-06,1.93E-07,3.08E-07
-1.42E-06,8.30E-07,3.28E-07
-1.51E-06,1.59E-06,3.43E-07
-1.58E-06,2.44E-06,3.55E-07
-1.64E-06,3.35E-06,3.62E-07
-1.69E-06,4.28E-06,3.64E-07
-1.71E-06,5.19E-06,3.61E-07
-1.72E-06,6.05E-06,3.55E-07
-1.71E-06,6.85E-06,3.45E-07
-1.68E-06,7.55E-06,3.32E-07
-1.65E-06,8.15E-06,3.17E-07
-1.60E-06,8.62E-06,3.00E-07
-1.54E-06,8.96E-06,2.83E-07
-1.48E-06,9.18E-06,2.67E-07
-1.42E-06,9.28E-06,2.51E-07
-1.36E-06,9.27E-06,2.37E-07
-1.30E-06,9.16E-06,2.24E-07
-1.25E-06,8.97E-06,2.14E-07
-1.21E-06,8.73E-06,2.06E-07
-1.18E-06,8.46E-06,2.00E-07
-1.16E-06,8.19E-06,1.96E-07
-1.16E-06,7.93E-06,1.95E-07
-1.18E-06,7.71E-06,1.95E-07
-1.21E-06,7.55E-06,1.98E-07
-1.25E-06,7.46E-06,2.02E-07
-1.30E-06,7.45E-06,2.07E-07
-1.36E-06,7.52E-06,2.13E-07
-1.43E-06,7.68E-06,2.19E-07
-1.50E-06,7.91E-06,2.25E-07
-1.56E-06,8.22E-06,2.30E-07
-1.61E-06,8.58E-06,2.34E-07
-1.66E-06,8.99E-06,2.36E-07
-1.69E-06,9.42E-06,2.37E-07
-1.71E-06,9.88E-06,2.35E-07
-1.71E-06,1.03E-05,2.33E-07
-1.70E-06,1.08E-05,2.29E-07
-1.66E-06,1.12E-05,2.24E-07
-1.61E-06,1.15E-05,2.19E-07
-1.53E-06,1.19E-05,2.14E-07
-1.44E-06,1.21E-05,2.10E-07
-1.34E-06,1.23E-05,2.06E-07
-1.21E-06,1.24E-05,2.02E-07
-1.08E-06,1.25E-05,1.99E-07
-9.40E-07,1.25E-05,1.97E-07
-7.95E-07,1.24E-05,1.97E-07
-6.49E-07,1.23E-05,1.97E-07
-5.06E-07,1.22E-05,1.99E-07
-3.69E-07,1.20E-05,2.02E-07
-2.42E-07,1.19E-05,2.07E-07
-1.26E-07,1.17E-05,2.14E-07
-2.33E-08,1.15E-05,2.23E-07
6.60E-08,1.14E-05,2.33E-07
1.40E-07,1.13E-05,2.44E-07
1.99E-07,1.12E-05,2.57E-07
2.44E-07,1.12E-05,2.70E-07
2.74E-07,1.12E-05,2.84E-07
2.92E-07,1.13E-05,2.96E-07
2.98E-07,1.14E-05,3.09E-07
2.96E-07,1.16E-05,3.20E-07
2.86E-07,1.18E-05,3.30E-07
2.71E-07,1.20E-05,3.39E-07
2.55E-07,1.23E-05,3.46E-07
2.38E-07,1.25E-05,3.53E-07
2.24E-07,1.28E-05,3.58E-07
2.15E-07,1.31E-05,3.62E-07
2.13E-07,1.34E-05,3.66E-07
2.20E-07,1.36E-05,3.67E-07
2.35E-07,1.39E-05,3.68E-07
2.61E-07,1.41E-05,3.67E-07
2.95E-07,1.42E-05,3.66E-07
3.40E-07,1.44E-05,3.63E-07
3.93E-07,1.44E-05,3.60E-07
4.56E-07,1.45E-05,3.56E-07
5.28E-07,1.45E-05,3.53E-07
6.10E-07,1.45E-05,3.50E-07
6.93E-07,1.44E-05,3.47E-07
7.77E-07,1.44E-05,3.46E-07
8.61E-07,1.44E-05,3.44E-07
9.42E-07,1.43E-05,3.43E-07
1.02E-06,1.43E-05,3.42E-07
1.09E-06,1.43E-05,3.42E-07
1.16E-06,1.43E-05,3.42E-07
1.22E-06,1.43E-05,3.41E-07
1.28E-06,1.43E-05,3.41E-07
1.33E-06,1.43E-05,3.41E-07
1.38E-06,1.43E-05,3.40E-07
1.41E-06,1.44E-05,3.40E-07
1.44E-06,1.45E-05,3.39E-07
1.46E-06,1.45E-05,3.38E-07
1.47E-06,1.46E-05,3.37E-07
1.47E-06,1.47E-05,3.35E-07
1.46E-06,1.48E-05,3.33E-07
1.44E-06,1.49E-05,3.31E-07
1.42E-06,1.51E-05,3.29E-07
1.39E-06,1.52E-05,3.26E-07
1.35E-06,1.53E-05,3.23E-07
1.31E-06,1.54E-05,3.19E-07
1.27E-06,1.55E-05,3.15E-07
1.22E-06,1.56E-05,3.12E-07
1.17E-06,1.57E-05,3.08E-07
1.12E-06,1.57E-05,3.04E-07
1.08E-06,1.58E-05,3.00E-07
1.03E-06,1.58E-05,2.97E-07
9.97E-07,1.58E-05,2.94E-07
9.66E-07,1.58E-05,2.92E-07
9.42E-07,1.58E-05,2.91E-07
9.25E-07,1.58E-05,2.90E-07
9.17E-07,1.58E-05,2.91E-07
