WS_hy_output_71,-4.17E-08,3.86E-08,3.87E-08,-4.00E-08
WS_hy_output_72,-4.23E-08,3.91E-08,3.92E-08,-4.05E-08
WS_hy_output_73,-4.29E-08,3.96E-08,3.97E-08,-4.11E-08
WS_hy_output_74,-4.35E-08,4.01E-08,4.02E-08,-4.16E-08
WS_hy_output_75,-4.41E-08,4.07E-08,4.08E-08,-4.22E-08
WS_hy_output_76,-4.46E-08,4.12E-08,4.13E-08,-4.27E-08
WS_hy_output_77,-4.52E-08,4.17E-08,4.18E-08,-4.33E-08
WS_hy_output_78,-4.58E-08,4.22E-08,4.24E-08,-4.38E-08
WS_hy_output_79,-4.64E-08,4.27E-08,4.29E-08,-4.44E-08
WS_hy_output_80,-4.70E-08,4.32E-08,4.34E-08,-4.49E-08
WS_hy_output_81,-4.76E-08,4.37E-08,4.40E-08,-4.55E-08
WS_hy_output_82,-4.82E-08,4.41E-08,4.45E-08,-4.60E-08
WS_hy_output_83,-4.88E-08,4.46E-08,4.50E-08,-4.65E-08
WS_hy_output_84,-4.94E-08,4.51E-08,4.55E-08,-4.71E-08
WS_hy_output_85,-5.00E-08,4.56E-08,4.61E-08,-4.76E-08
WS_hy_output_86,-5.06E-08,4.61E-08,4.66E-08,-4.81E-08
WS_hy_output_87,-5.12E-08,4.66E-08,4.71E-08,-4.87E-08
WS_hy_output_88,-5.18E-08,4.70E-08,4.76E-08,-4.92E-08
WS_hy_output_89,-5.24E-08,4.75E-08,4.82E-08,-4.97E-08
WS_hy_output_90,-5.30E-08,4.80E-08,4.87E-08,-5.02E-08
WS_hy_output_91,-5.36E-08,4.84E-08,4.92E-08,-5.07E-08
WS_hy_output_92,-5.42E-08,4.89E-08,4.97E-08,-5.13E-08
WS_hy_output_93,-5.48E-08,4.94E-08,5.03E-08,-5.18E-08
WS_hy_output_94,-5.54E-08,4.98E-08,5.08E-08,-5.23E-08
WS_hy_output_95,-5.60E-08,5.03E-08,5.13E-08,-5.28E-08
WS_hy_output_96,-5.66E-08,5.08E-08,5.18E-08,-5.33E-08
WS_hy_output_97,-5.72E-08,5.12E-08,5.23E-08,-5.38E-08
WS_hy_output_98,-5.78E-08,5.17E-08,5.28E-08,-5.43E-08
WS_hy_output_99,-5.84E-08,5.21E-08,5.34E-08,-5.48E-08
WS_hy_output_100,-5.90E-08,5.26E-08,5.39E-08,-5.53E-08
WS_hy_output_101,-5.95E-08,5.30E-08,5.44E-08,-5.58E-08
WS_hy_output_102,-6.01E-08,5.34E-08,5.49E-08,-5.63E-08
WS_hy_output_103,-6.07E-08,5.39E-08,5.54E-08,-5.68E-08
WS_hy_output_104,-6.13E-08,5.43E-08,5.59E-08,-5.73E-08
WS_hy_output_105,-6.19E-08,5.48E-08,5.64E-08,-5.78E-08
WS_hy_output_106,-6.25E-08,5.52E-08,5.70E-08,-5.83E-08
WS_hy_output_107,-6.31E-08,5.56E-08,5.75E-08,-5.88E-08
WS_hy_output_108,-6.37E-08,5.60E-08,5.80E-08,-5.93E-08
WS_hy_output_109,-6.43E-08,5.65E-08,5.85E-08,-5.98E-08
WS_hy_output_110,-6.49E-08,5.69E-08,5.90E-08,-6.03E-08
WS_hy_output_111,-6.55E-08,5.73E-08,5.95E-08,-6.07E-08
WS_hy_output_112,-6.61E-08,5.77E-08,6.00E-08,-6.12E-08
WS_hy_output_113,-6.67E-08,5.82E-08,6.05E-08,-6.17E-08
WS_hy_output_114,-6.73E-08,5.86E-08,6.10E-08,-6.22E-08
WS_hy_output_115,-6.79E-08,5.90E-08,6.16E-08,-6.27E-08
WS_hy_output_116,-6.85E-08,5.94E-08,6.21E-08,-6.31E-08
WS_hy_output_117,-6.91E-08,5.98E-08,6.26E-08,-6.36E-08
WS_hy_output_118,-6.97E-08,6.02E-08,6.31E-08,-6.41E-08
WS_hy_output_119,-7.03E-08,6.06E-08,6.36E-08,-6.45E-08
WS_hy_output_120,-7.09E-08,6.10E-08,6.41E-08,-6.50E-08
WS_hy_output_121,-7.15E-08,6.14E-08,6.46E-08,-6.55E-08
WS_hy_output_122,-7.21E-08,6.18E-08,6.51E-08,-6.59E-08
WS_hy_output_123,-7.27E-08,6.22E-08,6.56E-08,-6.64E-08
WS_hy_output_124,-7.33E-08,6.26E-08,6.61E-08,-6.69E-08
WS_hy_output_125,-7.39E-08,6.29E-08,6.66E-08,-6.73E-08
WS_hy_output_126,-7.45E-08,6.33E-08,6.71E-08,-6.78E-08
WS_hy_output_127,-7.51E-08,6.37E-08,6.76E-08,-6.82E-08
WS_hy_output_128,-7.58E-08,6.41E-08,6.81E-08,-6.87E-08
WS_hy_output_129,-7.64E-08,6.45E-08,6.86E-08,-6.91E-08
WS_hy_output_130,-7.70E-08,6.48E-08,6.91E-08,-6.96E-08
WS_hy_output_131,-7.76E-08,6.52E-08,6.96E-08,-7.00E-08
WS_hy_output_132,-7.82E-08,6.56E-08,7.01E-08,-7.05E-08
WS_hy_output_133,-7.88E-08,6.60E-08,7.06E-08,-7.09E-08
WS_hy_output_134,-7.94E-08,6.63E-08,7.11E-08,-7.14E-08
WS_hy_output_135,-8.00E-08,6.67E-08,7.16E-08,-7.18E-08
WS_hy_output_136,-8.06E-08,6.70E-08,7.22E-08,-7.23E-08
WS_hy_output_137,-8.12E-08,6.74E-08,7.27E-08,-7.27E-08
WS_hy_output_138,-8.18E-08,6.78E-08,7.32E-08,-7.31E-08
WS_hy_output_139,-8.24E-08,6.81E-08,7.37E-08,-7.36E-08
WS_hy_output_140,-8.30E-08,6.85E-08,7.42E-08,-7.40E-08
WS_hy_output_141,-8.36E-08,6.88E-08,7.47E-08,-7.44E-08
WS_hy_output_142,-8.42E-08,6.92E-08,7.52E-08,-7.49E-08
WS_hy_output_143,-8.49E-08,6.95E-08,7.57E-08,-7.53E-08
WS_hy_output_144,-8.55E-08,6.98E-08,7.62E-08,-7.57E-08
WS_hy_output_145,-8.61E-08,7.02E-08,7.67E-08,-7.61E-08
WS_hy_output_146,-8.67E-08,7.05E-08,7.72E-08,-7.66E-08
WS_hy_output_147,-8.73E-08,7.09E-08,7.77E-08,-7.70E-08
WS_hy_output_148,-8.79E-08,7.12E-08,7.82E-08,-7.74E-08
WS_hy_output_149,-8.85E-08,7.15E-08,7.87E-08,-7.78E-08
WS_hy_output_150,-8.91E-08,7.19E-08,7.92E-08,-7.82E-08
WS_hy_output_151,-8.98E-08,7.22E-08,7.97E-08,-7.87E-08
WS_hy_output_152,-9.04E-08,7.25E-08,8.02E-08,-7.91E-08
WS_hy_output_153,-9.10E-08,7.28E-08,8.07E-08,-7.95E-08
WS_hy_output_154,-9.16E-08,7.31E-08,8.12E-08,-7.99E-08
WS_hy_output_155,-9.22E-08,7.35E-08,8.17E-08,-8.03E-08
WS_hy_output_156,-9.28E-08,7.38E-08,8.22E-08,-8.07E-08
WS_hy_output_157,-9.35E-08,7.41E-08,8.27E-08,-8.11E-08
WS_hy_output_158,-9.41E-08,7.44E-08,8.32E-08,-8.15E-08
WS_hy_output_159,-9.47E-08,7.47E-08,8.37E-08,-8.19E-08
WS_hy_output_160,-9.53E-08,7.50E-08,8.42E-08,-8.23E-08
WS_hy_output_161,-9.59E-08,7.53E-08,8.47E-08,-8.27E-08
WS_hy_output_162,-9.65E-08,7.56E-08,8.52E-08,-8.31E-08
WS_hy_output_163,-9.72E-08,7.59E-08,8.57E-08,-8.35E-08
WS_hy_output_164,-9.78E-08,7.62E-08,8.62E-08,-8.39E-08
WS_hy_output_165,-9.84E-08,7.65E-08,8.67E-08,-8.43E-08
WS_hy_output_166,-9.90E-08,7.68E-08,8.72E-08,-8.46E-08
WS_hy_output_167,-9.97E-08,7.71E-08,8.77E-08,-8.50E-08
WS_hy_output_168,-1.00E-07,7.74E-08,8.82E-08,-8.54E-08
WS_hy_output_169,-1.01E-07,7.77E-08,8.87E-08,-8.58E-08
WS_hy_output_170,-1.02E-07,7.80E-08,8.92E-08,-8.62E-08
WS_hy_output_171,-1.02E-07,7.83E-08,8.97E-08,-8.65E-08
WS_hy_output_172,-1.03E-07,7.85E-08,9.02E-08,-8.69E-08
WS_hy_output_173,-1.03E-07,7.88E-08,9.07E-08,-8.73E-08
WS_hy_output_174,-1.04E-07,7.91E-08,9.12E-08,-8.77E-08
WS_hy_output_175,-1.05E-07,7.94E-08,9.17E-08,-8.80E-08
WS_hy_output_176,-1.05E-07,7.96E-08,9.22E-08,-8.84E-08
WS_hy_output_177,-1.06E-07,7.99E-08,9.27E-08,-8.88E-08
WS_hy_output_178,-1.07E-07,8.02E-08,9.32E-08,-8.91E-08
WS_hy_output_179,-1.07E-07,8.05E-08,9.37E-08,-8.95E-08
WS_hy_output_180,-1.08E-07,8.07E-08,9.42E-08,-8.98E-08
WS_hy_output_181,-1.08E-07,8.10E-08,9.47E-08,-9.02E-08
WS_hy_output_182,-1.09E-07,8.13E-08,9.53E-08,-9.05E-08
WS_hy_output_183,-1.10E-07,8.15E-08,9.58E-08,-9.09E-08
WS_hy_output_184,-1.10E-07,8.18E-08,9.63E-08,-9.12E-08
WS_hy_output_185,-1.11E-07,8.20E-08,9.68E-08,-9.16E-08
WS_hy_output_186,-1.12E-07,8.23E-08,9.73E-08,-9.19E-08
WS_hy_output_187,-1.12E-07,8.25E-08,9.78E-08,-9.23E-08
WS_hy_output_188,-1.13E-07,8.28E-08,9.83E-08,-9.26E-08
WS_hy_output_189,-1.14E-07,8.30E-08,9.88E-08,-9.29E-08
WS_hy_output_190,-1.14E-07,8.33E-08,9.93E-08,-9.33E-08
WS_hy_output_191,-1.15E-07,8.35E-08,9.98E-08,-9.36E-08
WS_hy_output_192,-1.15E-07,8.38E-08,1.00E-07,-9.39E-08
WS_hy_output_193,-1.16E-07,8.40E-08,1.01E-07,-9.43E-08
WS_hy_output_194,-1.17E-07,8.42E-08,1.01E-07,-9.46E-08
WS_hy_output_195,-1.17E-07,8.45E-08,1.02E-07,-9.49E-08
WS_hy_output_196,-1.18E-07,8.47E-08,1.02E-07,-9.53E-08
WS_hy_output_197,-1.19E-07,8.49E-08,1.03E-07,-9.56E-08
WS_hy_output_198,-1.19E-07,8.52E-08,1.03E-07,-9.59E-08
WS_hy_output_199,-1.20E-07,8.54E-08,1.04E-07,-9.62E-08
WS_hy_output_200,-1.21E-07,8.56E-08,1.04E-07,-9.65E-08
WS_hy_output_201,-1.21E-07,8.58E-08,1.05E-07,-9.69E-08
WS_hy_output_202,-1.22E-07,8.61E-08,1.05E-07,-9.72E-08
WS_hy_output_203,-1.23E-07,8.63E-08,1.06E-07,-9.75E-08
WS_hy_output_204,-1.23E-07,8.65E-08,1.07E-07,-9.78E-08
WS_hy_output_205,-1.24E-07,8.67E-08,1.07E-07,-9.81E-08
WS_hy_output_206,-1.24E-07,8.69E-08,1.08E-07,-9.84E-08
WS_hy_output_207,-1.25E-07,8.71E-08,1.08E-07,-9.87E-08
WS_hy_output_208,-1.26E-07,8.73E-08,1.09E-07,-9.90E-08
WS_hy_output_209,-1.26E-07,8.76E-08,1.09E-07,-9.93E-08
WS_hy_output_210,-1.27E-07,8.78E-08,1.10E-07,-9.96E-08
WS_hy_output_211,-1.28E-07,8.80E-08,1.10E-07,-9.99E-08
WS_hy_output_212,-1.28E-07,8.82E-08,1.11E-07,-1.00E-07
WS_hy_output_213,-1.29E-07,8.84E-08,1.11E-07,-1.00E-07
WS_hy_output_214,-1.30E-07,8.86E-08,1.12E-07,-1.01E-07
WS_hy_output_215,-1.30E-07,8.87E-08,1.12E-07,-1.01E-07
WS_hy_output_216,-1.31E-07,8.89E-08,1.13E-07,-1.01E-07
WS_hy_output_217,-1.32E-07,8.91E-08,1.13E-07,-1.02E-07
WS_hy_output_218,-1.32E-07,8.93E-08,1.14E-07,-1.02E-07
WS_hy_output_219,-1.33E-07,8.95E-08,1.14E-07,-1.02E-07
WS_hy_output_220,-1.34E-07,8.97E-08,1.15E-07,-1.02E-07
WS_hy_output_221,-1.34E-07,8.99E-08,1.15E-07,-1.03E-07
WS_hy_output_222,-1.35E-07,9.00E-08,1.16E-07,-1.03E-07
WS_hy_output_223,-1.36E-07,9.02E-08,1.16E-07,-1.03E-07
WS_hy_output_224,-1.36E-07,9.04E-08,1.17E-07,-1.04E-07
WS_hy_output_225,-1.37E-07,9.06E-08,1.18E-07,-1.04E-07
WS_hy_output_226,-1.38E-07,9.07E-08,1.18E-07,-1.04E-07
WS_hy_output_227,-1.38E-07,9.09E-08,1.19E-07,-1.04E-07
WS_hy_output_228,-1.39E-07,9.11E-08,1.19E-07,-1.05E-07
WS_hy_output_229,-1.40E-07,9.12E-08,1.20E-07,-1.05E-07
WS_hy_output_230,-1.40E-07,9.14E-08,1.20E-07,-1.05E-07
WS_hy_output_231,-1.41E-07,9.16E-08,1.21E-07,-1.05E-07
WS_hy_output_232,-1.42E-07,9.17E-08,1.21E-07,-1.06E-07
WS_hy_output_233,-1.42E-07,9.19E-08,1.22E-07,-1.06E-07
WS_hy_output_234,-1.43E-07,9.20E-08,1.22E-07,-1.06E-07
WS_hy_output_235,-1.44E-07,9.22E-08,1.23E-07,-1.06E-07
