WS_output_1,0,8.622268677,-2003.147583,112642.6797,3.71E-09,1996.444702,112245.7656,-8.699000359,-2243.599121,127178.4844,8.08E-10,2250.26123,127579.8125,-8.394357681,-2243.539551,127174.9063,-2.52E-09,2249.968018,127562.1719,8.508610725,-2003.196777,112645.5938,4.26E-10,1996.58252,112253.9141
WS_output_2,0.0005,5.823702812,-2003.448242,112643.0547,-1.635722041,1996.149292,112245.4688,-5.506152153,-2242.934814,127178.25,1.609588504,2250.929688,127580.1172,-5.447116852,-2243.226318,127174.5156,1.676210523,2250.276367,127562.4688,5.632698536,-2003.784302,112645.7969,-1.493922591,1995.991943,112253.6172
WS_output_3,0.001,4.144373417,-2003.624023,112643.7578,-2.341354132,1995.976685,112244.875,-3.659305334,-2242.522705,127177.8672,2.217172623,2251.343994,127580.5859,-3.751359463,-2243.043457,127173.8125,2.345589161,2250.456787,127563.0469,3.894950867,-2004.164063,112646.1406,-2.110964298,1995.610352,112253.1406
WS_output_4,0.0015,3.145090818,-2003.685669,112644.5156,-2.552087545,1995.915894,112244.2031,-2.599665403,-2242.30127,127177.5,2.319796801,2251.56543,127581.0078,-2.787100315,-2242.97998,127173.0625,2.504559755,2250.520264,127563.7109,2.850080967,-2004.37915,112646.4766,-2.262826681,1995.395508,112252.7031
WS_output_5,0.002,2.496428251,-2003.672607,112645.0781,-2.583614826,1995.927734,112243.6641,-1.924004555,-2242.191162,127177.2969,2.264377594,2251.674316,127581.2109,-2.178705454,-2242.991943,127172.5391,2.498844385,2250.510254,127564.2344,2.164341211,-2004.491821,112646.6953,-2.249197483,1995.284912,112252.4766
WS_output_6,0.0025,2.218340635,-2003.595825,112645.4453,-2.411471367,1996.001465,112243.2578,-1.662094474,-2242.185791,127177.2266,2.021339417,2251.676758,127581.2188,-1.952750802,-2243.067627,127172.2266,2.297619104,2250.438232,127564.6172,1.858874083,-2004.508789,112646.7969,-2.0481534,1995.271973,112252.4375
WS_output_7,0.003,2.029354334,-2003.547241,112645.4063,-2.281713247,1996.046753,112243.1953,-1.492684484,-2242.170166,127177.3672,1.849905849,2251.689697,127580.9766,-1.804701924,-2243.107666,127172.3281,2.153092384,2250.4021,127564.6641,1.652764559,-2004.52771,112646.7188,-1.899167538,1995.257202,112252.6641
WS_output_8,0.0035,2.005618572,-2003.509521,112645.0547,-2.121762276,1996.080566,112243.3906,-1.505972385,-2242.172852,127177.6641,1.673391104,2251.684082,127580.5391,-1.81846869,-2243.131836,127172.7422,1.988865018,2250.38208,127564.4453,1.623350024,-2004.525635,112646.4922,-1.733358264,1995.263916,112253.0859
WS_output_9,0.004,1.991306067,-2003.569458,112644.4766,-2.04005146,1996.018555,112243.8203,-1.539319277,-2242.119385,127178.0078,1.604989767,2251.736328,127580.0781,-1.832512259,-2243.05249,127173.3438,1.906804323,2250.463135,127563.9922,1.621311307,-2004.57251,112646.2031,-1.664369226,1995.219604,112253.5547
WS_output_10,0.0045,2.036143303,-2003.695068,112643.7031,-1.996542692,1995.891724,112244.4453,-1.645364881,-2242.040771,127178.3906,1.60170567,2251.814941,127579.5938,-1.899149656,-2242.904053,127174.1094,1.867923856,2250.611572,127563.3516,1.694351554,-2004.640747,112645.8516,-1.650750518,1995.152344,112254.0703
WS_output_11,0.005,2.08885026,-2003.895508,112643.0625,-2.001803875,1995.692383,112245.0234,-1.774000883,-2241.945068,127178.625,1.669025779,2251.911865,127579.3438,-1.968765855,-2242.686768,127174.6875,1.875805378,2250.826904,127562.7734,1.793579817,-2004.72937,112645.6094,-1.705941558,1995.062134,112254.3516
WS_output_12,0.0055,2.167279959,-2004.152344,112642.4922,-2.048396349,1995.43811,112245.5781,-1.940249562,-2241.841064,127178.7656,1.797740936,2252.018799,127579.2422,-2.058980703,-2242.417236,127175.1641,1.925320983,2251.092529,127562.2031,1.93379879,-2004.828735,112645.4219,-1.818971276,1994.959229,112254.4844
WS_output_13,0.006,2.2614398,-2004.396851,112642.2578,-2.121004343,1995.197021,112245.8906,-2.123146772,-2241.781982,127178.7109,1.955193758,2252.080566,127579.3906,-2.16172266,-2242.173828,127175.3047,1.999237776,2251.332031,127561.8906,2.095227718,-2004.892456,112645.4063,-1.963379622,1994.891479,112254.3594
WS_output_14,0.0065,2.379767656,-2004.617065,112642.2891,-2.229535818,1994.980469,112245.9844,-2.325109482,-2241.766602,127178.5234,2.14715004,2252.098633,127579.7109,-2.284161806,-2241.966064,127175.1953,2.108422279,2251.536865,127561.8047,2.281807661,-2004.918823,112645.5234,-2.143921614,1994.861206,112254.0391
