Time,latitude_deg,longitude_deg
s,,
0,35.0156533333333,139.002930277778
0.199999999999989,35.0156533333333,139.002927777778
0.400000000000006,35.0156533333333,139.002925277778
0.599999999999994,35.0156533333333,139.002923055556
0.800000000000011,35.0156533333333,139.002920555556
1,35.0156522222222,139.002918055556
1.19999999999999,35.0156497222222,139.002915
1.40000000000001,35.0156475,139.002911944444
1.59999999999999,35.015645,139.002908888889
1.80000000000001,35.0156425,139.002905833333
2,35.0156402777778,139.002903611111
2.19999999999999,35.0156377777778,139.0029025
2.40000000000001,35.0156352777778,139.002901388889
2.59999999999999,35.0156330555556,139.0029
2.80000000000001,35.0156305555556,139.002898888889
3,35.0156286111111,139.002897777778
3.19999999999999,35.0156275,139.002896666667
3.40000000000001,35.0156263888889,139.002895833333
3.6,35.015625,139.002894722222
3.80000000000001,35.0156238888889,139.002893888889
4,35.0156225,139.002893333333
4.19999999999999,35.0156202777778,139.002893611111
4.40000000000001,35.0156183333333,139.002893611111
4.6,35.0156163888889,139.002893888889
4.80000000000001,35.0156144444445,139.002894166667
5,35.0156125,139.002893611111
5.19999999999999,35.0156111111111,139.0028925
5.40000000000001,35.0156097222222,139.002891388889
5.6,35.0156083333333,139.00289
5.80000000000001,35.0156069444444,139.002888888889
6,35.0156061111111,139.002888333333
6.19999999999999,35.0156061111111,139.002888333333
6.40000000000001,35.0156061111111,139.002888333333
6.6,35.0156061111111,139.002888333333
6.80000000000001,35.0156061111111,139.002888333333
7,35.0156061111111,139.002888333333
7.19999999999999,35.0156061111111,139.002888333333
7.40000000000001,35.0156061111111,139.002888333333
7.6,35.0156061111111,139.002888333333
7.80000000000001,35.0156061111111,139.002888333333
8,35.0156041666667,139.002885
8.19999999999999,35.0155994444445,139.002877777778
8.40000000000001,35.0155947222222,139.002870277778
8.6,35.0155897222222,139.002863055556
8.80000000000001,35.015585,139.002855555556
9,35.0155808333333,139.002851111111
9.19999999999999,35.0155777777778,139.002850555556
9.40000000000001,35.0155744444445,139.002850277778
9.6,35.0155713888889,139.002849722222
9.80000000000001,35.0155680555556,139.002849444444
10,35.0155627777778,139.002846944444
10.2,35.015555,139.002841388889
10.4,35.0155469444445,139.002835555556
10.6,35.0155388888889,139.00283
10.8,35.0155308333333,139.002824444444
11,35.0155241666667,139.002818055556
11.2,35.0155191666667,139.002810833333
11.4,35.0155141666667,139.002803333333
11.6,35.0155091666667,139.002795833333
11.8,35.0155041666667,139.002788611111
12,35.0154977777778,139.002781111111
12.2,35.0154894444444,139.002773333333
12.4,35.0154808333333,139.002765833333
12.6,35.0154725,139.002758333333
12.8,35.0154641666667,139.002750555556
13,35.0154563888889,139.002744444444
13.2,35.0154497222222,139.002740555556
13.4,35.0154433333333,139.002736666667
13.6,35.0154366666667,139.0027325
13.8,35.01543,139.002728611111
14,35.0154230555556,139.002725
14.2,35.0154155555556,139.002722222222
14.4,35.0154077777778,139.002719444444
14.6,35.0154002777778,139.002716666667
